source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1910/1910-SFE,1910,Pacific Coast League,0407-losangeles-sacramento-0,19100407,0,Los Angeles,7,Sacramento,0,TVKSDPK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0407-portland-vernon-0,19100407,0,Portland,2,Vernon,5,GTGHPJV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-oakland-sanfrancisco-0,19100408,0,San Francisco,2,Oakland,6,XVYBCPS
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-losangeles-sacramento-0,19100408,0,Los Angeles,2,Sacramento,0,HBCKDZC
boxscores/1910/1910-SFE,1910,Pacific Coast League,0408-portland-vernon-0,19100408,0,Portland,1,Vernon,2,GBHWHXX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-oakland-sanfrancisco-0,19100409,0,San Francisco,4,Oakland,2,NDKCQQL
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-losangeles-sacramento-0,19100409,0,Los Angeles,1,Sacramento,0,XFMPCSX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0409-portland-vernon-0,19100409,0,Portland,8,Vernon,2,LKMHCMZ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-oakland-sanfrancisco-1,19100410,1,San Francisco,2,Oakland,6,QQWWJNV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-oakland-sanfrancisco-2,19100410,2,San Francisco,,Oakland,,MMQFHYQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-losangeles-sacramento-0,19100410,0,Los Angeles,5,Sacramento,2,DRJZMXR
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-portland-vernon-1,19100410,1,Portland,1,Vernon,4,LLDSKDJ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0410-portland-vernon-2,19100410,2,Portland,4,Vernon,4,NMZGMYP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0412-losangeles-oakland-0,19100412,0,Los Angeles,4,Oakland,3,CJKNSSM
boxscores/1910/1910-SFE,1910,Pacific Coast League,0412-portland-sacramento-0,19100412,0,Portland,3,Sacramento,2,CNCQKGQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0412-sanfrancisco-vernon-0,19100412,0,San Francisco,3,Vernon,6,LSYWZSY
boxscores/1910/1910-SFE,1910,Pacific Coast League,0413-losangeles-oakland-0,19100413,0,Los Angeles,6,Oakland,3,XXHPBZV
boxscores/1910/1910-SFE,1910,Pacific Coast League,0413-portland-sacramento-0,19100413,0,Portland,3,Sacramento,1,FSFBXSY
boxscores/1910/1910-SFE,1910,Pacific Coast League,0413-sanfrancisco-vernon-0,19100413,0,San Francisco,1,Vernon,6,RTBNXYQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0414-losangeles-oakland-0,19100414,0,Los Angeles,0,Oakland,6,PSKBBQL
boxscores/1910/1910-SFE,1910,Pacific Coast League,0414-portland-sacramento-0,19100414,0,Portland,5,Sacramento,1,LRWFYYH
boxscores/1910/1910-SFE,1910,Pacific Coast League,0414-sanfrancisco-vernon-0,19100414,0,San Francisco,3,Vernon,4,PZKTTZK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0415-losangeles-oakland-0,19100415,0,Los Angeles,4,Oakland,5,DWTGLHX
boxscores/1910/1910-SFE,1910,Pacific Coast League,0415-portland-sacramento-0,19100415,0,Portland,6,Sacramento,1,ZHPBFSF
boxscores/1910/1910-SFE,1910,Pacific Coast League,0415-sanfrancisco-vernon-0,19100415,0,San Francisco,8,Vernon,5,WBKQBFP
boxscores/1910/1910-SFE,1910,Pacific Coast League,0416-losangeles-oakland-0,19100416,0,Los Angeles,1,Oakland,0,ZLNXXPK
boxscores/1910/1910-SFE,1910,Pacific Coast League,0416-portland-sacramento-0,19100416,0,Portland,5,Sacramento,3,VRJCXCY
boxscores/1910/1910-SFE,1910,Pacific Coast League,0416-sanfrancisco-vernon-0,19100416,0,San Francisco,5,Vernon,1,RKTBZHB
boxscores/1910/1910-SFE,1910,Pacific Coast League,0417-losangeles-oakland-1,19100417,1,Los Angeles,3,Oakland,4,HLPQWGG
boxscores/1910/1910-SFE,1910,Pacific Coast League,0417-losangeles-oakland-2,19100417,2,Los Angeles,4,Oakland,2,NNCVDNQ
boxscores/1910/1910-SFE,1910,Pacific Coast League,0417-portland-sacramento-0,19100417,0,Portland,5,Sacramento,3,QTTRXSB
boxscores/1910/1910-SFE,1910,Pacific Coast League,0417-sanfrancisco-vernon-1,19100417,1,San Francisco,5,Vernon,2,WNBDYSD
boxscores/1910/1910-SFE,1910,Pacific Coast League,0417-sanfrancisco-vernon-2,19100417,2,San Francisco,5,Vernon,1,TLKMBFV
