source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1958TSN,1957,Western League,mills,B01250,Mills,Ivan,0,Topeka,,,112,,
minoraverages/1958TSN,1957,Western League,mills,P11425,Mills,,0,Topeka,,,,5,p
minoraverages/1958TSN,1957,Western League,miro,B02464,Miro,Arturo,0,Lincoln,,,6,,
minoraverages/1958TSN,1957,Western League,miro,P11144,Miro,,0,Lincoln,,,,5,p
minoraverages/1958TSN,1957,Western League,moton,B01269,Moton,Wilmer,0,Sioux City,,,10,,
minoraverages/1958TSN,1957,Western League,moton,F21920,Moton,,0,Sioux City,,,,,p28
minoraverages/1958TSN,1957,Western League,moton,P10455,Moton,,0,Sioux City,,,,28,p
minoraverages/1958TSN,1957,Western League,mrofka,B02277,Mrofka,Richard,0,Colorado Springs,,,1,,
minoraverages/1958TSN,1957,Western League,mrofka,P10982,Mrofka,,0,Colorado Springs,,,,1,p
minoraverages/1958TSN,1957,Western League,murray-ama,B01275,Murray,Frank,0,Amarillo,,,43,,
minoraverages/1958TSN,1957,Western League,murray-lin,B02478,Murray,Arthur,0,Lincoln,,,6,,
minoraverages/1958TSN,1957,Western League,murray-ama,F20265,Murray,,0,Amarillo,,,,,2b148
minoraverages/1958TSN,1957,Western League,murray-lin,P11153,Murray,,0,Lincoln,,,,6,p
minoraverages/1958TSN,1957,Western League,oneto,B01288,Oneto,Francis,0,Albuquerque,,,150,,
minoraverages/1958TSN,1957,Western League,oneto,F20254,Oneto,,0,Albuquerque,,,,,2b112
minoraverages/1958TSN,1957,Western League,onuska,B01291,Onuska,William,0,Lincoln,,,112,,
minoraverages/1958TSN,1957,Western League,onuska,F21450,Onuska,,0,Lincoln,,,,,c73
minoraverages/1958TSN,1957,Western League,osorio,B01300,Osorio,Alberto,0,Albuquerque,,,77,,
minoraverages/1958TSN,1957,Western League,osorio,F21961,Osorio,,0,Albuquerque,,,,,p54
minoraverages/1958TSN,1957,Western League,osorio,P10464,Osorio,,0,Albuquerque,,,,54,p
minoraverages/1958TSN,1957,Western League,overin,B02289,Overin,Henry,0,Colorado Springs,,,1,,
minoraverages/1958TSN,1957,Western League,overin,P10996,Overin,,0,Colorado Springs,,,,1,p
minoraverages/1958TSN,1957,Western League,overstreet,B01313,Overstreet,Wynton,0,Topeka,,,58,,
minoraverages/1958TSN,1957,Western League,overstreet,F21973,Overstreet,,0,Topeka,,,,,p25
