source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1911/1911-THN,1911,Kansas State League,sizemore,P1168600,Sizemore,,,El Dorado,19110514,19110524,5,4,"p4,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,smith,P2442984,Smith,,,Wellington,19110512,19110524,11,0,3b11
boxscores/1911/1911-TWJ,1911,Kansas State League,smith,P9070451,Smith,,,Wellington,19110511,19110511,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,snyder,P2384970,Snyder,,,Lyons,19110513,19110520,3,3,p3
boxscores/1911/1911-THN,1911,Kansas State League,saxe,P1952858,Soxe,,,Newton,19110511,19110511,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,speaks,P4220578,Speaks,,,Newton,19110513,19110522,4,4,p4
boxscores/1911/1911-THN,1911,Kansas State League,stephens,P0058605,Stephens,,,Hutchinson,19110511,19110516,2,0,"3b1,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,stephens,P5398347,Stevens,,,Hutchinson,19110515,19110519,3,0,"3b1,of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,stilwell,P1456439,Stillwell,,,Newton,19110511,19110524,14,0,2b14
boxscores/1911/1911-THN,1911,Kansas State League,suddeth-lar,P5443655,Suddeth,,,Larned,19110518,19110523,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,suddeth-wel,P6314292,Suddeth,,,Wellington,19110514,19110514,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,suddeth-lar,P6501451,Suddith,,,Larned,19110511,19110511,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,synek,P1759932,Syneck,,,McPherson,19110511,19110524,12,0,"1b3,2b5,of4,lf4"
boxscores/1911/1911-THN,1911,Kansas State League,synek,P2684025,Synek,,,McPherson,19110519,19110519,1,0,1b1
boxscores/1911/1911-THN,1911,Kansas State League,talbott,P7186636,Talbott,,,#umpire,19110511,19110516,,,
boxscores/1911/1911-THN,1911,Kansas State League,terrell,P6430037,Terrell,,,Newton,19110522,19110522,1,0,1b1
boxscores/1911/1911-THN,1911,Kansas State League,tettler,P4399482,Tettler,,,Larned,19110513,19110513,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,tomlin-gb,P2255327,Tomlin,,,Great Bend,19110512,19110519,8,0,"2b6,of2,lf1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,tomlin-new,P5567694,Tomlin,,,Newton,19110522,19110524,3,0,"of3,rf3"
boxscores/1911/1911-TWJ,1911,Kansas State League,tomlin-gb,P0961738,Tomlin,,,Great Bend,19110511,19110511,1,0,"of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,uppstein,P8951027,Uppstein,,,Newton,19110511,19110511,1,0,"of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,wacob,P6493144,Wacob,,,Great Bend,19110512,19110524,11,0,c11
boxscores/1911/1911-TWJ,1911,Kansas State League,wacob,P3120611,Wacob,,,Great Bend,19110511,19110511,1,0,c1
boxscores/1911/1911-THN,1911,Kansas State League,weber,P7767864,Weber,,,Wellington,19110512,19110512,1,0,1b1
boxscores/1911/1911-TWJ,1911,Kansas State League,weber,P4395331,Weber,,,Wellington,19110511,19110511,1,0,1b1
boxscores/1911/1911-THN,1911,Kansas State League,weisner,P8442098,Weisner,,,Lyons,19110511,19110524,12,0,"of12,cf12"
boxscores/1911/1911-THN,1911,Kansas State League,wheatley,P0626703,Wheatley,,,Great Bend,19110513,19110523,5,5,p5
boxscores/1911/1911-THN,1911,Kansas State League,white,P7340572,White,,,Newton,19110511,19110524,14,0,"of14,cf14"
boxscores/1911/1911-THN,1911,Kansas State League,williams.l,P4888567,Williams,L.,,Newton,19110515,19110518,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,williams.r,P6598013,Williams,R.,,Newton,19110518,19110518,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,williams,P9416893,Williams,,,Newton,19110511,19110524,6,1,"p1,ss4,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,williams.l,P7939525,Williams [p],,,Newton,19110512,19110521,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,williams.r,P1461453,Williams [ph],,,Newton,19110521,19110521,1,0,
boxscores/1911/1911-THN,1911,Kansas State League,williams.r,P5676283,Williams [ss],,,Newton,19110512,19110512,1,0,ss1
boxscores/1911/1911-THN,1911,Kansas State League,wilson,P4961384,Wilson,,,Great Bend,19110514,19110524,10,0,"1b1,of10,rf10"
boxscores/1911/1911-THN,1911,Kansas State League,wing@ump,P3994631,Wing,,,#umpire,19110511,19110523,,,
boxscores/1911/1911-THN,1911,Kansas State League,zink,P3654335,Zink,,,Hutchinson,19110511,19110524,13,1,"p1,1b12"
boxscores/1911/1911-THN,1911,Kansas State League,harris,P6095352,harris,,,McPherson,19110516,19110516,1,0,2b1
boxscores/1911/1911-THN,1911,Kansas State League,,P6768594,,,,#umpire,19110512,19110523,,,
